NPC,ID Dec,ID Hex,,,,,,,,Model Size?,,,Base Level,Base HP,Base STR,Base INT,Base VIT,XP,Base Atk,Base MAtk,Diz,Base Def,Base MDef,STR Level,INT Level,VIT Level,Atk Level,MAtk Level,Def Level,MDef Level,,Diz Res%,Knock Atk%?,Stun Attack?,Knock Res%,,Crit Atk%,Crit Res%,,Flying?,,Fire Res%,Water Res%,Earth Res%,Wind Res%,Light Res%,Dark Res%,Phys Res%,Love Res%,Psn Res%,Seal Res%,Par Res%,Slp Res%,Ftg Res%,Sick Res%,Fnt Res%,Drain Res%,,Friendliness,,Drop 1,Drop 2,Drop 3,Drop 4,Scarcity 1,Scarcity 2,Scarcity 3,Scarcity 4,,,,,,,,,,,EVs (VIT INT STR HP),Produce,,Produce Chance,Upgradable
Flower Lily,89,0059,89.99%,10,104.98%,109.99%,109.99%,100.00%,89.99%,150,00 55 00 00,1,25,740,88,105,80,208,75,98,10,62,136,200,244,188,100,105,90,110,96,9.99%,100.00%,0.00%,4.98%,100.00%,0.98%,4.98%,00 23 40 00,0,0,0.00%,0.00%,-100.00%,25.00%,0.00%,0.00%,0.00%,0.00%,9.99%,9.99%,9.99%,100.00%,9.99%,9.99%,9.99%,0.00%,0,16,1,Root,Plant Stem,Vine,,2,100,100,,00 00 00 2A,87,700,00 00 D5 48,00 00 00 01,04 72 04 85,00 00 00 00,00 00 01 F2,00 00 00 00,00 AF 00 CF,00 01 00 00,Vine,0,100.00%,No
Flower Crystal,90,005A,89.99%,10,114.99%,109.99%,109.99%,100.00%,89.99%,160,00 56 00 00,1,77,3600,255,304,278,1600,400,320,10,222,412,212,270,167,100,105,70,130,96,50.00%,100.00%,0.00%,4.98%,100.00%,0.98%,4.98%,00 23 40 00,0,0,-100.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.99%,9.99%,9.99%,100.00%,9.99%,9.99%,9.99%,0.00%,0,14,1,Root,Plant Stem,Strong Vine,,180,120,80,,00 00 00 2B,87,700,00 00 D5 48,00 00 00 01,04 72 04 86,00 00 00 00,00 00 01 F2,00 00 00 00,01 67 02 92,00 01 00 00,Strong Vine,0,70.59%,No
Big Muck,91,005B,59.99%,13,91.99%,100.00%,100.00%,100.00%,109.99%,180,00 57 00 00,1,4,144,20,11,8,20,30,1,15,11,5,208,169,180,100,100,90,110,100,0.00%,100.00%,0.00%,4.98%,100.00%,0.98%,9.99%,00 23 40 00,0,0,0.00%,0.00%,9.99%,-100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0,20,1,Spore,Poison Powder,Mushroom,,200,5,100,,00 01 00 2C,91,240,00 00 7F F8,00 00 00 00,04 88 04 87,00 00 00 00,00 00 01 F7,02 01 01 01,00 63 00 A8,00 00 00 01,Spore,0,100.00%,No
Tricky Muck,92,005C,79.98%,15,92.99%,109.99%,109.99%,100.00%,109.99%,200,00 58 00 00,1,30,802,126,110,88,216,144,108,15,82,102,200,190,180,100,100,90,110,100,9.99%,100.00%,0.00%,4.98%,100.00%,0.98%,14.99%,00 2A 40 00,0,0,0.00%,0.00%,9.99%,-100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0,18,1,Spore,Poison Powder,Mushroom,Monarch Mushroom,200,110,100,1,00 01 00 2D,91,240,00 00 7F F8,00 00 00 00,04 88 04 97,00 00 00 00,00 00 01 F7,02 01 01 01,00 AF 00 CF,00 00 00 02,Poison Powder,0,70.59%,No
Leaf Ball,93,005D,109.99%,8,100.00%,100.00%,100.00%,100.00%,79.98%,130,00 59 00 00,1,20,590,75,80,50,190,84,62,10,66,58,200,245,192,100,105,100,100,97,4.98%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 23 40 00,1,0,0.00%,0.00%,-100.00%,9.99%,0.00%,0.00%,0.00%,0.00%,9.99%,9.99%,9.99%,9.99%,9.99%,9.99%,9.99%,0.00%,0,20,1,Root,Plant Stem,Vine,,1,160,4,,00 00 00 2E,93,400,00 00 BF F4,00 00 01 00,04 99 04 98,00 00 00 00,00 00 02 01,00 00 00 00,00 9D 01 C6,00 01 00 00,Plant Stem,0,100.00%,No
Planchoa,94,005E,150.00%,10,100.00%,100.00%,100.00%,100.00%,100.00%,150,00 5A 00 00,1,65,2000,240,256,204,850,235,228,10,253,353,204,215,196,100,107,80,120,97,9.99%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 23 40 00,1,0,0.00%,0.00%,0.00%,9.99%,0.00%,0.00%,0.00%,0.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,0.00%,0,18,1,Root,Plant Stem,Strong Vine,Strong Vine,60,80,90,150,00 00 00 2F,93,500,00 00 BF F4,00 01 01 00,04 99 04 A9,00 00 00 00,00 00 02 01,00 00 00 00,01 49 02 53,00 02 00 00,Root,0,70.59%,No
Sky Fish,95,005F,114.99%,10,139.99%,109.99%,100.00%,139.99%,114.99%,120,00 5B 00 00,1,6,230,28,25,20,50,35,19,20,18,10,200,200,200,100,100,100,100,100,0.00%,100.00%,0.00%,0.00%,100.00%,1.98%,4.98%,00 23 40 00,1,0,-100.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,79.98%,0.00%,0.00%,0.00%,0.00%,0,18,1,Fish Fossil,Fish Fossil,Can,Rare Can,60,40,60,1,00 01 00 30,95,250,00 00 78 DC,00 00 00 01,04 AB 04 AA,00 00 00 00,00 00 02 04,02 01 01 01,00 63 01 1C,00 01 00 00,,0,,No
Sealy,96,0060,139.99%,15,139.99%,109.99%,100.00%,139.99%,114.99%,120,00 5C 00 00,1,73,2023,258,280,258,887,510,388,25,275,249,230,181,209,100,100,110,90,100,9.99%,100.00%,0.00%,0.00%,100.00%,3.98%,4.98%,00 23 40 00,1,0,-100.00%,50.00%,9.99%,9.99%,9.99%,9.99%,0.00%,0.00%,0.00%,0.00%,0.00%,79.98%,0.00%,0.00%,0.00%,0.00%,0,18,1,Wet Scale,Fish Fossil,Can,Rare Can,160,40,60,1,00 01 00 31,95,250,00 00 78 DC,00 00 00 02,04 AB 04 BA,00 00 00 00,00 00 02 04,02 01 01 01,01 67 02 92,00 02 00 00,,0,,No
Tortas,97,0061,71.00%,15,89.99%,101.98%,103.98%,100.98%,150.00%,140,00 5D 00 00,8,6,96,24,18,30,58,28,6,2,40,1,200,150,250,98,100,150,50,80,75.00%,100.00%,0.00%,29.98%,0.00%,4.98%,95.00%,00 23 40 00,0,0,-150.00%,50.00%,0.00%,0.00%,0.00%,0.00%,39.99%,0.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,0.00%,0,18,2,Turtle Shell,Turtle Shell,Iron,Bronze,220,40,80,4,00 01 00 32,97,350,00 00 7F F8,00 00 00 01,04 BC 04 BB,00 00 00 00,00 00 02 07,01 01 01 01,00 63 01 1C,01 00 00 00,,0,,No
Ignis,98,0062,95.00%,10,120.00%,109.99%,100.00%,229.98%,95.00%,160,00 5E 00 00,1,32,800,142,152,58,354,148,140,10,88,142,222,259,180,100,105,80,120,90,9.99%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 23 40 00,1,0,200.00%,-200.00%,9.99%,9.99%,0.00%,0.00%,0.00%,0.00%,79.98%,79.98%,79.98%,79.98%,79.98%,79.98%,98.00%,50.00%,0,18,1,Magic Crystal,Fire Crystal,,,70,120,,,01 01 00 33,98,600,00 00 FF F0,00 00 00 00,04 D1 04 D0,00 00 00 00,00 00 02 09,02 02 01 01,00 AF 01 E6,00 02 00 00,,0,,No
Tundra,99,0063,95.00%,10,120.00%,109.99%,100.00%,229.98%,95.00%,160,00 5F 00 00,1,71,2450,200,320,260,1680,250,245,10,128,387,202,230,180,100,105,70,130,90,9.99%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 23 40 00,1,0,-200.00%,200.00%,9.99%,9.99%,0.00%,0.00%,0.00%,0.00%,79.98%,79.98%,79.98%,79.98%,79.98%,79.98%,98.00%,50.00%,0,16,1,Magic Crystal,Water Crystal,,,80,120,,,01 01 00 34,98,600,00 00 FF F0,00 00 00 00,04 D1 04 EA,00 00 00 00,00 00 02 09,04 01 03 01,01 67 02 92,00 02 00 00,,0,,No
Airror,100,0064,95.00%,10,120.00%,109.99%,100.00%,229.98%,95.00%,160,00 60 00 00,1,67,1740,212,298,207,877,240,204,10,276,427,200,240,216,100,105,70,130,90,9.99%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 23 40 00,1,0,9.99%,9.99%,-200.00%,200.00%,0.00%,0.00%,0.00%,0.00%,79.98%,79.98%,79.98%,79.98%,79.98%,79.98%,98.00%,50.00%,0,12,1,Magic Crystal,Wind Crystal,,,80,120,,,01 01 00 35,98,600,00 00 FF F0,00 00 00 00,04 D1 04 EC,00 00 00 00,00 00 02 09,06 01 05 01,01 49 02 53,00 02 00 00,,0,,No
Ghost,101,0065,89.99%,10,98.00%,100.00%,100.00%,100.00%,120.00%,190,00 61 00 00,1,12,280,48,40,46,96,76,44,5,72,53,200,190,160,100,100,100,100,100,29.98%,100.00%,0.00%,0.00%,100.00%,2.98%,14.99%,00 23 40 00,1,0,0.00%,0.00%,0.00%,0.00%,-100.00%,20.00%,0.00%,-50.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,20,1,Ghost Hood,Skull,Stick,,120,3,80,,00 01 00 36,101,350,00 00 87 14,01 00 01 00,04 EF 04 EE,00 00 00 00,00 00 02 17,04 03 01 01,00 8B 01 2F,00 01 00 00,,0,,No
Necro,102,0066,100.00%,10,98.00%,100.00%,100.00%,100.00%,120.00%,200,00 62 00 00,1,51,1800,199,200,160,704,240,202,5,150,130,200,200,170,100,100,90,110,100,29.98%,100.00%,0.00%,0.00%,100.00%,3.98%,14.99%,00 23 40 00,1,0,0.00%,0.00%,0.00%,0.00%,-100.00%,50.00%,0.00%,-50.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,18,1,Ghost Hood,Skull,,,120,90,,,00 01 00 37,101,350,00 00 87 14,01 00 02 00,04 EF 05 00,00 00 00 00,00 00 02 17,05 03 01 01,01 18 02 1D,00 02 00 00,,0,,No
Faust,103,0067,125.00%,13,98.00%,100.00%,100.00%,100.00%,139.99%,210,00 63 00 00,1,86,4210,282,363,285,3100,444,380,5,290,440,216,240,195,100,90,110,100,105,29.98%,100.00%,0.00%,0.00%,100.00%,4.98%,14.99%,00 26 40 00,1,0,9.99%,9.99%,9.99%,9.99%,-100.00%,200.00%,0.00%,-50.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,16,1,Ghost Hood,Skull,Glistening Blade,,60,120,90,,00 01 00 38,101,350,00 00 87 14,02 00 02 00,04 EF 05 01,00 00 00 00,00 00 02 17,06 03 01 01,01 A4 01 5B,00 03 00 00,,0,,No
Monster Box,104,0068,100.00%,10,89.99%,109.99%,100.00%,89.99%,100.00%,120,00 64 00 00,0,11,314,60,41,20,150,55,45,10,32,28,215,160,160,110,100,90,100,100,50.00%,100.00%,0.00%,0.00%,100.00%,29.98%,4.98%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,-100.00%,9.99%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,12,3,Broken Hilt,Broken Box,Failed Dish,Disastrous Dish,680,8,200,8,00 01 00 39,104,0,00 00 FF F0,01 01 01 00,05 04 05 03,00 00 00 00,00 00 02 1F,03 03 07 02,03 E7 00 A1,00 00 00 01,,0,,No
Gobble Box,105,0069,100.00%,10,89.99%,109.99%,100.00%,89.99%,100.00%,120,00 65 00 00,0,56,2500,250,180,180,888,600,320,10,200,180,236,190,208,120,120,80,80,100,50.00%,100.00%,0.00%,0.00%,100.00%,50.00%,4.98%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,-100.00%,9.99%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0,12,3,Broken Hilt,Broken Box,Failed Dish,Disastrous Dish,300,550,250,70,00 01 00 3A,104,0,00 00 FF F0,02 02 02 00,05 04 05 15,00 00 00 00,00 00 02 1F,03 03 02 02,03 E7 00 A1,00 00 00 02,,0,,No
Fairy,106,006A,64.99%,10,100.00%,100.00%,100.00%,100.00%,75.00%,168,00 66 00 00,10,9,200,38,43,28,72,12,18,10,32,35,209,236,154,100,110,90,100,95,0.00%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 23 40 00,1,0,9.99%,9.99%,-100.00%,100.00%,9.99%,9.99%,0.00%,25.00%,0.00%,75.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,20,1,Fairy Dust,Fairy Dust,Love Potion,Prelude to Love,75,40,1,7,01 00 00 3B,106,700,00 00 FF F0,00 00 00 02,05 18 05 17,00 00 00 00,00 00 02 28,00 00 00 00,00 8B 00 B4,00 01 00 00,Fairy Dust,0,100.00%,No
Dark Fairy,107,006B,75.00%,12,100.00%,100.00%,100.00%,100.00%,75.00%,178,00 67 00 00,8,88,3928,288,360,300,3150,325,400,10,211,435,120,200,150,100,110,70,140,95,0.00%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 23 40 00,1,0,20.00%,20.00%,-25.00%,200.00%,20.00%,20.00%,0.00%,25.00%,0.00%,75.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,18,1,Fairy Elixir,Fairy Dust,Love Potion,Prelude to Love,75,40,2,7,01 00 00 3C,106,700,00 00 FF F0,01 00 00 02,05 18 05 29,00 00 00 00,00 00 02 28,00 00 00 00,01 A4 01 5B,00 02 00 00,Fairy Elixir,0,15.69%,No
Slime,108,006C,59.99%,10,70.00%,70.00%,100.00%,70.00%,79.98%,120,00 68 00 00,0,10,376,38,40,20,99,70,60,5,68,8,130,200,200,95,105,150,30,90,95.00%,100.00%,0.00%,0.00%,100.00%,3.98%,4.98%,00 23 40 00,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,79.98%,-50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,79.98%,79.98%,0,14,1,Small Crystal,Aquamarine,Bronze,Amethyst,1,80,24,80,00 00 00 3D,108,350,00 00 BF F4,00 01 00 00,05 2C 05 2B,00 00 00 00,00 00 02 2C,00 00 00 00,00 8B 01 2F,00 01 00 00,,0,,No
Dark Slime,109,006D,79.98%,12,70.00%,70.00%,100.00%,70.00%,79.98%,120,00 69 00 00,0,88,4000,276,280,400,3000,350,400,5,555,280,139,222,218,100,110,120,60,60,95.00%,100.00%,0.00%,0.00%,100.00%,5.98%,4.98%,00 23 40 00,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,200.00%,89.99%,-50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,79.98%,79.98%,0,12,1,Emerald,Sapphire,Small Crystal,Dark Crystal,50,50,2,100,00 00 00 3E,108,350,00 00 BF F4,00 02 00 00,05 2C 05 3C,00 00 00 00,00 00 02 2C,00 00 00 00,01 A4 01 5B,00 02 00 00,,0,,No
Wooly,110,006E,73.00%,10,109.99%,109.99%,100.00%,100.00%,73.00%,150,00 6A 00 00,15,1,21,3,3,4,1,3,1,5,2,2,180,120,180,110,110,110,110,150,0.00%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,40,1,Fur (S),Clippers,,,15,32,,,00 01 00 3F,110,260,00 00 7F F8,00 00 00 00,05 3F 05 3E,00 00 00 00,00 00 02 2E,02 02 01 01,00 27 00 A1,00 00 00 01,Fur (S),0,100.00%,Yes
Little Golem,112,0070,89.99%,18,70.00%,70.00%,100.00%,70.00%,125.00%,180,00 6C 00 00,0,54,3000,260,90,240,850,260,210,25,250,30,200,160,254,110,100,150,40,102,95.00%,100.00%,0.00%,39.99%,100.00%,3.98%,75.00%,00 1E 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0,8,2,Tiny Golem Stone,Silver,Ruby,,80,70,60,,00 01 00 40,112,250,00 00 71 C0,00 02 00 00,05 53 05 52,00 00 00 00,00 00 02 31,01 01 01 01,01 18 02 1D,01 00 01 00,,0,,No
Cluckadoodle,113,0071,54.98%,8,100.00%,100.00%,100.00%,100.00%,54.98%,160,00 6D 00 00,15,3,60,16,10,5,3,18,5,10,9,2,209,193,200,100,100,100,100,100,0.00%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,25,1,Egg (S),Egg (M),Bird's Feather,,60,15,10,,00 00 00 41,113,250,00 00 71 C0,00 00 00 00,05 66 05 65,00 00 00 00,00 00 02 34,00 00 00 00,00 63 00 A1,00 00 00 01,Egg (S),0,100.00%,Yes
Little Dragon,114,0072,104.98%,24,84.99%,84.99%,100.00%,95.00%,159.99%,200,00 6E 00 00,10,82,4720,390,250,250,3780,440,500,20,300,350,252,200,217,100,100,100,100,105,75.00%,100.00%,0.00%,29.98%,0.00%,4.98%,39.99%,00 23 3C 71,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,100.00%,50.00%,0,8,2,Dragon Fang,Dragon Fang,,,120,40,,,00 01 00 42,114,250,00 00 7F F8,00 00 01 00,05 75 05 74,00 00 00 00,00 00 02 35,02 02 01 01,01 A4 01 5B,00 00 01 00,,0,,No
Pomme Pomme,115,0073,84.99%,10,79.98%,79.98%,100.00%,79.98%,84.99%,160,00 6F 00 00,10,4,90,17,12,10,10,23,4,10,19,2,200,184,208,100,100,120,80,90,9.99%,100.00%,0.00%,9.99%,100.00%,0.98%,4.98%,00 23 40 00,0,0,0.00%,0.00%,0.00%,-20.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,25,1,Apple,Apple,Baked Apple,Apple Tree Seeds,100,30,4,1,00 01 00 43,115,260,00 00 7F F8,01 00 00 00,05 8C 05 8B,00 00 00 00,00 00 02 45,01 01 01 01,00 63 00 A1,00 00 00 01,,0,,No
Orc Viking,116,0074,109.99%,15,100.00%,97.00%,100.00%,100.00%,109.99%,160,00 70 00 00,10,70,2980,338,120,300,1580,460,200,15,270,160,210,144,205,100,100,100,100,100,20.00%,100.00%,0.00%,9.99%,100.00%,2.98%,9.99%,00 23 40 00,0,0,-100.00%,9.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.99%,9.99%,9.99%,9.99%,9.99%,9.99%,9.99%,0.00%,0,16,1,Shoulder Piece,Glue,Wine,,100,60,40,,00 01 00 44,116,350,00 00 78 DC,01 00 01 00,05 A3 05 A2,00 00 00 00,00 00 02 4C,02 02 01 01,01 67 02 92,00 00 01 00,,0,,No
High Orc Viking,117,0075,125.00%,17,89.99%,97.00%,100.00%,100.00%,129.98%,170,00 71 00 00,5,190,12000,812,598,615,13000,1870,1500,18,680,600,237,191,251,102,100,100,100,100,79.98%,100.00%,0.00%,9.99%,100.00%,4.98%,14.99%,00 26 40 00,0,0,-100.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,0.00%,0,14,1,Pirate's Armor,Glue,Wine,,160,60,80,,00 01 00 45,116,350,00 00 78 DC,01 01 02 00,05 A3 05 B4,00 00 00 00,00 00 02 4C,03 03 01 01,01 FF 02 D6,00 00 02 00,,0,,No
Ogre Viking,118,0076,100.00%,10,95.00%,95.00%,100.00%,95.00%,100.00%,150,00 72 00 00,10,71,2800,328,150,295,1490,338,290,10,200,215,200,170,175,100,100,100,100,100,20.00%,100.00%,0.00%,9.99%,100.00%,1.98%,9.99%,00 23 40 00,0,0,-100.00%,9.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.99%,9.99%,9.99%,9.99%,9.99%,9.99%,9.99%,0.00%,0,16,1,Shoulder Piece,Glue,Wine,,60,80,40,,00 01 00 46,118,360,00 00 78 DC,00 00 01 01,05 B6 05 B5,00 00 00 00,00 00 02 50,01 01 01 01,01 67 02 92,00 01 00 00,,0,,No
High Ogre Viking,119,0077,114.99%,13,84.99%,95.00%,100.00%,95.00%,120.00%,160,00 73 00 00,5,185,11200,680,611,520,13500,2230,1500,10,650,1150,230,197,262,102,100,100,100,100,79.98%,100.00%,0.00%,9.99%,100.00%,3.98%,14.99%,00 26 40 00,0,0,-100.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,0.00%,0,14,1,Pirate's Armor,Glue,Wine,,160,60,80,,00 01 00 47,118,360,00 00 78 DC,00 00 01 02,05 B6 05 C5,00 00 00 00,00 00 02 50,01 01 01 01,01 FF 02 D6,00 02 00 00,,0,,No
Goblin Pirate,120,0078,98.00%,10,120.00%,109.99%,100.00%,129.98%,98.00%,150,00 74 00 00,10,28,1050,160,68,70,320,160,66,15,105,85,200,180,190,100,100,100,100,100,9.99%,100.00%,0.00%,0.00%,100.00%,2.98%,4.98%,00 23 40 00,0,0,9.99%,0.00%,0.00%,-100.00%,0.00%,0.00%,0.00%,0.00%,9.99%,9.99%,9.99%,9.99%,9.99%,9.99%,9.99%,0.00%,0,20,1,Quality Cloth,Silk Cloth,Skull,Oil,120,1,1,80,00 01 00 48,120,350,00 00 78 DC,00 00 00 01,05 C7 05 C6,00 00 00 00,00 00 02 52,01 01 01 01,00 AF 01 E6,00 00 00 01,,0,,No
Captain Goblin,121,0079,112.99%,12,125.00%,109.99%,100.00%,129.98%,120.00%,160,00 75 00 00,5,119,7200,498,384,400,5600,870,300,18,570,299,256,172,256,100,100,100,100,100,50.00%,100.00%,0.00%,0.00%,25.00%,5.98%,9.99%,00 26 40 00,0,0,20.00%,0.00%,0.00%,-100.00%,0.00%,0.00%,0.00%,0.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,0.00%,0,18,1,Warrior's Proof,Silk Cloth,Skull,Wine,100,50,40,100,00 01 00 49,120,350,00 00 78 DC,00 00 00 02,05 C7 05 D6,00 00 00 00,00 00 02 52,01 01 01 01,01 C0 01 44,00 00 00 02,,0,,No
Gangster Goblin,122,007A,98.00%,10,100.00%,109.99%,100.00%,129.98%,98.00%,150,00 76 00 00,10,29,1020,158,98,64,312,138,80,15,91,122,200,190,180,100,100,100,100,100,9.99%,100.00%,0.00%,0.00%,100.00%,4.98%,4.98%,00 28 23 8E,0,0,9.99%,0.00%,0.00%,-100.00%,0.00%,0.00%,0.00%,0.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,0.00%,0,20,1,Quality Cloth,Old Bandage,Skull,Oil,180,120,1,120,00 01 00 4A,122,450,00 00 B1 BC,00 01 01 02,05 D8 05 D7,00 00 00 00,00 00 02 54,01 01 01 01,00 AF 01 E6,00 01 00 00,,0,,No
Goblin Don,123,007B,114.99%,12,89.99%,100.00%,100.00%,100.00%,120.00%,160,00 77 00 00,5,114,6888,469,362,395,5650,672,320,20,390,562,247,172,255,100,100,100,100,100,50.00%,100.00%,0.00%,0.00%,25.00%,5.98%,9.99%,00 2B 2A AA,0,0,20.00%,0.00%,0.00%,-100.00%,0.00%,0.00%,0.00%,0.00%,29.98%,29.98%,29.98%,29.98%,29.98%,29.98%,29.98%,0.00%,0,25,1,Proof of Rank,Old Bandage,Skull,Wine,100,140,100,140,00 01 00 4B,122,450,00 00 B1 BC,00 01 02 02,05 D8 05 E7,00 00 00 00,00 00 02 54,01 01 01 01,01 C0 01 44,00 02 00 00,,0,,No
Duck,124,007C,100.00%,10,79.98%,100.00%,100.00%,100.00%,100.00%,150,00 78 00 00,12,9,272,52,18,30,76,34,7,10,48,7,212,165,190,100,100,100,100,105,0.00%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 23 40 00,0,0,0.00%,9.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,20,1,Yellow Down,Yellow Down,Bird's Feather,Yellow Feather,160,50,20,1,00 01 00 4C,124,300,00 00 7F F8,00 00 00 01,05 E9 05 E8,00 00 00 00,00 00 02 56,01 01 01 01,00 8B 00 B4,00 00 00 01,,0,,No
Emperor Penguin,125,007D,114.99%,11,89.99%,100.00%,100.00%,100.00%,104.98%,150,00 79 00 00,6,75,2600,300,200,310,300,332,180,10,348,230,140,130,150,100,100,110,90,100,29.98%,100.00%,0.00%,0.00%,100.00%,0.98%,7.98%,00 23 40 00,0,0,-100.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,20,1,Penguin Down,Penguin Down,Bird's Feather,,100,100,80,,00 01 00 4D,124,300,00 00 7F F8,00 00 00 02,05 E9 05 F8,00 00 00 00,00 00 02 56,01 01 01 01,00 AF 00 EA,00 00 00 02,,0,,No
Elefun,126,007E,100.00%,25,89.99%,114.99%,100.00%,100.00%,179.98%,170,00 7A 00 00,10,40,2015,188,115,128,592,288,15,15,210,52,248,170,150,105,100,130,50,120,50.00%,100.00%,0.00%,0.00%,100.00%,1.98%,14.99%,00 23 47 1C,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,15,1,Ivory Tusk,Ivory Tusk,Cheap Waterpot,,140,50,40,,00 01 00 4E,126,450,00 00 B1 BC,01 01 00 01,05 FA 05 F9,00 00 00 00,00 00 02 5A,02 02 01 01,01 18 00 E6,00 00 00 01,,0,,No
Mammoo,127,007F,120.00%,28,100.00%,120.00%,100.00%,100.00%,200.00%,180,00 7B 00 00,6,76,4200,442,92,290,1880,320,341,25,178,90,434,320,361,110,100,140,40,125,79.98%,100.00%,0.00%,0.00%,0.00%,2.98%,29.98%,00 28 47 1C,0,0,-100.00%,9.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,12,1,Unbroken Ivory Tusk,Ivory Tusk,Tin Waterpot,,80,160,40,,00 01 00 4F,126,500,00 00 B1 BC,01 01 00 02,05 FA 06 0F,00 00 00 00,00 00 02 5A,07 07 01 01,01 67 02 92,00 00 00 02,,0,,No
Onion Ghost,128,0080,100.00%,10,79.98%,100.00%,100.00%,100.00%,100.00%,170,00 7C 00 00,5,38,1420,140,184,80,540,245,252,10,168,160,187,217,165,100,105,80,120,98,4.98%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 23 40 00,1,0,0.00%,0.00%,50.00%,-100.00%,0.00%,9.99%,0.00%,-25.00%,14.99%,14.99%,14.99%,14.99%,14.99%,14.99%,100.00%,50.00%,0,20,1,Onion Seeds,Onion,Ghost Hood,,15,6,100,,00 00 00 50,128,600,00 00 DC 64,01 00 00 00,06 11 06 10,00 00 00 00,00 00 02 62,00 00 00 00,01 18 00 E6,00 01 00 00,,0,,No
